key,en,ja,zh,notes
familySyncLeaveGroup,Leave Group,グループを退出,退出分组,
familySyncLeaveGroupConfirm,Leave this family group? Sync will stop on this device until you join again.,このファミリーグループを退出しますか？再参加するまでこの端末での同期は停止します。,确定要退出这个家庭分组吗？此设备将停止同步，直到再次加入。,
familySyncLeaveGroupFailed,Leave group failed: {message},グループ退出に失敗: {message},退出分组失败: {message},
familySyncManualSync,Sync Ledger,帳簿を同期,同步账本,
familySyncManualSyncDesc,Manually sync data,手動でデータを同期,手动同步数据,
familySyncMemberConfirmedNotificationBody,Your family sync group is ready. Open group management to review the latest status.,ファミリー同期グループの準備ができました。最新の状態を確認するにはグループ管理を開いてください。,家庭同步分组已经准备好。打开分组管理查看最新状态。,
familySyncMemberConfirmedNotificationTitle,Group Ready,グループの準備ができました,分组已就绪,
familySyncMemberCount,{count} members,{count}人のメンバー,{count} 位成员,
familySyncMemberStatusActive,Active,有効,已激活,
familySyncMemberStatusPending,Pending,承認待ち,待确认,
familySyncMembers,Members,メンバー,成员,
familySyncMinutesAgo,{minutes} min ago,{minutes}分前,{minutes} 分钟前,
familySyncNewRequest,New Join Request,新しい参加リクエスト,新的加入请求,
familySyncNoDevicePaired,No family group,参加中のファミリーグループはありません,尚未加入任何家庭分组,
familySyncOrDivider,or,または,或,
familySyncPairCode,Invite Code,招待コード,邀请码,
familySyncPairId,Group ID,グループID,分组ID,
familySyncPairInfo,Group Info,グループ情報,分组信息,
familySyncPairPrompt,Create or join a family group to sync transactions,ファミリーグループを作成または参加して取引を同期しましょう,创建或加入家庭分组以同步交易记录,
familySyncPairedDevice,Family Group,ファミリーグループ,家庭分组,
familySyncPairedSince,Paired since,ペアリング日,配对时间,
familySyncRegenerate,Regenerate,再生成,重新生成,
familySyncRegenerateInvite,Regenerate Invite,招待コードを再生成,重新生成邀请码,
familySyncRegenerateInviteFailed,Regenerate invite failed: {message},招待コードの再生成に失敗: {message},重新生成邀请码失败: {message},
familySyncReject,Reject,拒否,拒绝,
familySyncRemoveMember,Remove Member,メンバーを削除,移除成员,
familySyncRemoveMemberConfirm,Remove {deviceName} from this family group?,{deviceName} をこのファミリーグループから削除しますか？,确定要将 {deviceName} 移出这个家庭分组吗？,
familySyncRemoveMemberFailed,Remove member failed: {message},メンバー削除に失敗: {message},移除成员失败: {message},
familySyncRoleMember,Member,メンバー,成员,
familySyncRoleOwner,Owner,オーナー,所有者,
familySyncScanOrEnter,Share this invite code or QR with a family member to let them join your group,この招待コードまたはQRを家族に共有して、グループに参加してもらいましょう,将此邀请码或二维码分享给家人，让他们加入你的分组,
familySyncScanQr,Scan QR Code,QRコードをスキャン,扫描二维码,
familySyncSecurityVerified,This device public key has been verified.,デバイスの公開鍵が検証済みです,该设备的公钥已完成校验,
familySyncShare,Share,シェア,分享,
familySyncShowMyCode,Create Group,グループを作成,创建分组,
familySyncStatusError,Sync error occurred,同期エラーが発生しました,同步发生错误,
familySyncStatusLabel,Status,ステータス,状态,
familySyncStatusOffline,Offline - will sync when connected,オフライン - 接続時に同期します,离线中 - 连接后将自动同步,
familySyncStatusPairing,Group setup in progress...,グループ設定中...,分组设置中...,
familySyncStatusSynced,Connected and up to date,接続済み・最新,已连接，数据已同步,
familySyncStatusSyncing,Syncing with group...,グループと同期中...,正在与分组同步...,
familySyncStatusUnpaired,Tap to create or join a family group,タップしてファミリーグループを作成または参加,点击创建或加入家庭分组,
familySyncSubmit,Submit,送信,提交,
familySyncSynced,Synced,同期済,已同步,
familySyncSyncedEntries,Synced Entries,同期済帳票,已同步条目,
familySyncUnpair,Unpair,ペアリング解除,解除配对,
familySyncUnpairConfirm,Are you sure you want to unpair from {deviceName}? Sync will stop until you pair again.,{deviceName}とのペアリングを解除しますか？再度ペアリングするまで同期は停止します。,确定要与{deviceName}解除配对吗？解除后将停止同步，直到重新配对。,
familySyncUnpairDevice,Unpair Device,デバイスのペアリング解除,解除设备配对,
familySyncUnpairFailed,Unpair failed: {message},ペアリング解除に失敗: {message},解除配对失败: {message},
familySyncWaitingDescription,The group owner is reviewing your join request. Please wait until approval is complete.,グループオーナーがあなたの参加リクエストを確認中です。確認されるまでお待ちください。,分组所有者正在确认你的加入请求。请等待对方完成确认。,
familySyncWaitingTitle,Waiting for Approval...,承認を待っています...,等待批准...,
familySyncYouSuffix, (You), (あなた),（你）,
filter,Filter,フィルター,筛选,
generate,Generate,生成,生成,
generateDemoData,Generate Demo Data,デモデータを生成,生成演示数据,
generateDemoDataDescription,This will create sample transactions for the last 3 months to showcase analytics features.,過去3か月分のサンプル取引を作成し、分析機能をデモします。,将创建过去3个月的示例交易，以展示分析功能。,
groupApprove,Approve,承認,批准,
groupBack,Back,戻る,返回,
groupCancel,Cancel,キャンセル,取消,
groupChoiceSubtitle,Manage your household budget together,家計簿を一緒に管理しましょう,一起管理家庭账本,
groupChoiceTitle,Connect with family,家族とつながろう,与家人连接,
groupCodeExpired,Invite code expired,招待コードの有効期限が切れました,邀请码已过期,
groupCodeHint,Ask the group owner for the invite code,招待コードはグループのオーナーに聞いてください,请向群组的群主索取邀请码,
groupConfirmJoin,Confirm Join,参加を確認,确认加入,
groupCreate,Create Group,グループを作成,创建群组,
groupCreateDesc,Create a new family group and invite members,新しい家族グループを作って、メンバーを招待しましょう,创建新的家庭群组，邀请家庭成员加入,
groupDefaultName,{name}'s Family,{name}の家庭,{name}的家,
groupDisband,Disband Group,グループを解散,解散群组,
groupE2eeHint,Privacy protected with E2E encryption,E2E暗号化でプライバシーを保護,端到端加密保护隐私,
groupEnterCode,Enter Invite Code,招待コードを入力,输入邀请码,
groupEnterGroup,Enter Group,グループへ,进入群组,
groupInvalidCode,Invalid invite code,無効な招待コードです,邀请码无效,
groupInviteCode,Invite Code,招待コード,邀请码,
groupInviteExpiry,Valid for {minutes} minutes,{minutes}分以内に有効,{minutes}分钟内有效,
groupInviteMembers,Invite new member,新しいメンバーを招待,邀请新成员,
groupJoinDesc,Enter an invite code to join an existing group,招待コードを入力して、既存のグループに参加しましょう,输入邀请码，加入已有的家庭群组,
groupJoinRequest,Join request received,参加リクエストを受信,收到加入请求,
groupJoinRequestDesc,{name} wants to join,{name} が参加を申請しています,{name} 申请加入,
groupJoinSuccess,Welcome!,ようこそ！,欢迎加入！,
groupJoinTarget,Group to Join,参加するグループ,你要加入的群组,
groupMember,Member,メンバー,成员,
groupMyName,My Name,自分の名前,我的名称,
groupName,Group Name,グループ名,群组名称,
groupOwner,Owner,オーナー,群主,
groupReject,Reject,拒否,拒绝,
groupRename,Rename Group,グループ名を変更,修改群组名称,
groupRenameFailed,Failed to rename,名前の変更に失敗しました,修改名称失败,
groupShareCode,Share Invite Code,招待コードを共有,分享邀请码,
groupSyncing,Syncing,同期中,同步中,
groupVerify,Verify,検証,验证,
groupWaitingApproval,Waiting for Owner approval...,オーナーの承認を待っています...,等待群主审批...,
groupWaitingDesc,{name} is reviewing your request,{name} があなたのリクエストを確認中,{name} 正在确认你的请求,
groupWaitingHint1,Please wait for the notification,通知が届くまでお待ちください,请等待通知,
groupWaitingHint2,It's safe to close the app,アプリを閉じても大丈夫です,关闭应用也没有关系,
home,Home,ホーム,首页,
homeFamilyInviteDesc,Share your ledger with your partner,パートナーと家計簿を共有しよう,与伴侣共享家计簿,
homeFamilyInviteTitle,Invite Family,家族を招待する,邀请家人,
homeFamilyMode,Family Mode,家族モード,家庭模式,
homeHappinessROI,Happiness ROI,幸せROI,快乐 ROI,
homeMonthBadge,This month {percent}%,今月 {percent}%,本月 {percent}%,
homeMonthComparison,vs Last Month,先月比,较上月,
homeMonthFormat,{year}/{month},{year}年{month}月,{year}年{month}月,
homeMonthLabel,M{month},{month}月,{month}月,
homeMonthlyExpense,Monthly Expenses,今月の出費,本月支出,
homePersonalMode,Personal Mode,個人モード,个人模式,
homeRecentSoulTransaction,Recent: {merchant} ¥{amount},直近: {merchant} ¥{amount},最近一笔: {merchant} ¥{amount},
homeSoulChargeStatus,Soul Fullness {fullness}% · Happiness ROI {roi}x,魂の充実度 {fullness}% · 幸せROI {roi}x,灵魂充盈度 {fullness}% · 快乐ROI {roi}x,
homeSoulExpense,Joy Expenses,ときめき支出,灵魂支出,
homeSoulFullness,Soul Fullness,魂の充実度,灵魂充盈度,
homeSoulPercentLabel,Soul spending ratio,今月の魂支出の割合,本月灵魂支出占比,
homeSurvivalExpense,Living Expenses,暮らしの支出,生存支出,
homeTabChart,Charts,チャート,图表,
homeTabHome,Home,ホーム,主页,
homeTabList,List,一覧,列表,
homeTabTodo,Todo,やること,待办事项,
homeTodayCount,{count} items,{count}件,{count}条,
homeTodayTitle,Today's Records,今日の記録,今日记录,
importBackup,Import Backup,バックアップをインポート,导入备份,
importBackupDescription,Restore from backup file,バックアップファイルから復元,从备份文件恢复,
importFailed,Import failed,インポートに失敗しました,导入失败,
initializationError,Failed to initialize app,アプリの初期化に失敗しました,应用初始化失败,
language,Language,言語,语言,
languageChinese,Chinese,中文,中文,
languageEnglish,English,English,English,
languageJapanese,Japanese,日本語,日本語,
ledger,Ledger,帳簿,账本,
loading,Loading...,読み込み中...,加载中...,
manualInput,Manual,手動入力,手动输入,
merchant,Merchant,店舗,商家,
merchantPlaceholder,Enter merchant name,店舗名を入力,请输入商家名称,
newTransaction,New Transaction,新しい取引,新交易,
next,Next,次へ,下一步,
noData,No data available,データがありません,暂无数据,
noTransactionsYet,No transactions yet,取引がまだありません,暂无交易记录,
note,Note,メモ,备注,
noteOptional,Note (optional),メモ（任意）,备注（可选）,
notePlaceholder,Enter a note,メモを入力,请输入备注,
notifications,Notifications,通知,通知,
notificationsDescription,Budget alerts and sync notifications,予算アラートと同期通知,预算提醒和同步通知,
ocrHint,Place receipt in frame,レシートを枠内に収めてください,将票据完整放入框内,
ocrScan,OCR,OCR,OCR,
ocrScanTitle,OCR Scan,OCRスキャン入力,OCR扫描录入,
ok,OK,OK,确定,
openSourceLicenses,Open Source Licenses,オープンソースライセンス,开源许可,
passwordMinLength,Password must be at least 8 characters,パスワードは8文字以上にしてください,密码至少需要8个字符,
passwordsDoNotMatch,Passwords do not match,パスワードが一致しません,两次输入的密码不一致,
pleaseEnterAmount,Please enter an amount,金額を入力してください,请输入金额,
pleaseSelectCategory,Please select a category,カテゴリを選択してください,请选择类别,
privacyPolicy,Privacy Policy,プライバシーポリシー,隐私政策,
profileCancel,Cancel,キャンセル,取消,
profileChangeAvatar,Tap to change avatar,タップしてアバターを変更,点击更换头像,
profileDone,Done,完了,完成,
profileEdit,Edit Profile,プロフィールを編集,编辑个人资料,
profileEmojiTab,Emoji,Emoji,表情,
profileNameRequired,Please enter a nickname,ニックネームを入力してください,请输入昵称,
profileNameTooLong,Nickname must be 50 characters or less,ニックネームは50文字以内で入力してください,昵称不能超过50个字符,
profileNickname,Your nickname,あなたの呼び名,你的昵称,
profileNicknamePlaceholder,Enter your nickname,ニックネームを入力,请输入昵称,
profilePhotoFailed,Failed to load photo,写真の読み込みに失敗しました,照片加载失败,
profilePhotoPermissionDenied,Photo access denied,写真へのアクセスが拒否されました,照片访问被拒绝,
profilePhotoTab,Photo,写真,照片,
profilePreview,Preview,プレビュー,预览,
profileSave,Save,保存,保存,
profileSaveFailed,Failed to save,保存に失敗しました,保存失败,
profileSelectAvatar,Select Avatar,アバターを選択,选择头像,
profileSetup,Nice to meet you!,はじめまして！,初次见面！,
profileSetupSubtitle,Welcome to Home Pocket,まもる家計簿へようこそ,欢迎使用守护家计簿,
profileStart,Get Started,はじめる,开始,
profileUploadPhoto,Upload Photo,写真をアップロード,上传照片,
recognitionResult,Recognition result,認識結果,识别结果,
record,Record,記録する,记录,
refresh,Refresh,更新,刷新,
retry,Retry,再試行,重试,
satisfactionBad,Bad,不満,不满,
satisfactionExcellent,Excellent!,最高！,最好！,
satisfactionGood,Good,良い,良好,
satisfactionLevel,Satisfaction,満足度,满足度,
satisfactionNormal,Normal,普通,一般,
satisfactionSlightlyBad,Slightly bad,やや不満,稍有不满,
satisfactionVeryGood,Very good,とても良い,非常好,
save,Save,保存,保存,
search,Search,検索,搜索,
searchCategory,Search categories...,分類を検索...,搜索分类...,
security,Security,セキュリティ,安全,
selectCategory,Select Category,分類を選択,选择分类,
selectTheme,Select Theme,テーマを選択,选择主题,
setBackupPassword,Set Backup Password,バックアップパスワードを設定,设置备份密码,
settings,Settings,設定,设置,
sort,Sort,並び替え,排序,
soul,Soul,魂,灵魂,
soulExpense,Soul,魂支出,灵魂支出,
soulLedger,Soul Ledger,魂帳簿,灵魂账本,
soulSatisfaction,Soul Fullness,魂の充盈度,灵魂充盈度,
successDeleted,Deleted successfully,削除しました,删除成功,
successSaved,Saved successfully,保存しました,保存成功,
successSynced,Synced successfully,同期しました,同步成功,
survival,Survival,生存,生存,
survivalExpense,Survival,生存支出,生存支出,
survivalLedger,Survival Ledger,生存帳簿,生存账本,
syncCompleted,Sync complete,同期完了,同步完成,
syncFailed,Sync failed,同期に失敗しました,同步失败,
syncInProgress,Syncing...,同期中...,同步中...,
syncInitialProgress,Initial sync...,初回同期中...,首次同步中...,
syncLastTime,Last sync: {time},最終同期: {time},上次同步: {time},
syncManual,Sync Now,手動で同期,手动同步,
syncOfflineQueued,{count} changes pending,{count}件の変更が��信待ち,{count}条变更待发送,
syncProfileUpdated,{name} updated their profile,{name}がプロフィール���更新しました,{name}更新了个人资料,
syncRetry,Retry,再試行,重试,
tapToAddFirstTransaction,Tap + to add your first transaction,＋をタップして最初の取引を追加,点击 + 添加第一笔交易,
tapToRecord,Tap to record,タップして録音,点击录音,
theme,Theme,テーマ,主题,
themeDark,Dark,ダーク,深色,
themeLight,Light,ライト,浅色,
themeSystem,System,システム,跟随系统,
today,Today,今日,今天,
todayDate,Today,今日,今天,
transactionSaved,Transaction saved,取引を保存しました,交易已保存,
transactionTypeExpense,Expense,支出,支出,
transactionTypeIncome,Income,収入,收入,
transactions,Transactions,取引,交易,
version,Version,バージョン,版本,
voiceInput,Voice,音声,语音,
voiceInputSettings,Voice Recognition,音声認識,语音识别,
voiceLanguage,Recognition Language,認識言語,识别语言,
voiceLanguageSubtitle,Language used for speech-to-text,音声入力に使用する言語,语音转文字所使用的语言,
voiceRecognitionResult,Recognition Result,認識結果,识别结果,
welcomeTo,Welcome to Home Pocket,まもる家計簿へようこそ,欢迎使用守护家计簿,
yesterday,Yesterday,昨日,昨天,
